n,Mean,Std.Dev,Median,Min,Max,25th,75th,Skew,Kurtosis
126,11.0687759241349,2.40798238409842,11.47496161,4.087462841,15.31167737,9.37809103575,12.9775728125,-0.644515755297327,-0.0441298041859959
126,5.12213954698413,2.80738415580938,4.95419631,-3.321928095,11.89102419,3.727168519,6.99144607125,-0.207178328496697,0.307276313427625
126,11.6125258115556,2.7151991104546,11.668574575,4.392317423,18.0733257,9.920483887,13.7609350725,-0.297696016335158,-0.345003111884668
126,8.93251668503175,2.29263422229916,9.0116261455,2.327687364,14.10720236,7.28044502525,10.502174785,-0.0531627384883125,-0.44539346994145
126,7.22743144297619,2.58937040897332,6.994253589,0,13.34235251,5.523561956,9.046841181,0.0351760941731343,-0.405041396117404
126,8.79336673564286,2.7065964452084,8.6635570075,-3.321928095,14.54230642,7.23596097825,10.7782726125,-0.581646997631677,1.78326847373093
126,5.50784851892063,2.60841959693681,5.4247025505,-3.321928095,12.0617087,3.727168519,7.29686666225,-0.0312395260660347,0.30404301622555
126,10.8604693107937,2.12875075102529,10.5050571,7.159871337,15.47895917,9.12281238475,12.380161635,0.343152190542547,-0.766984684828115
126,12.4450909095,1.47561078002812,12.60129664,9.35974956,15.68466645,11.4129665575,13.3777858625,-0.0804515410511861,-0.561107410463947
126,10.4711889702857,2.73607913594117,10.49783942,3.584962501,17.0917866,8.835683643,12.2860520575,-0.320343403554417,0.0742768088448504
126,9.19030374219841,3.00607338540976,9.0808169125,0,15.59843058,7.076349665,11.1587658575,-0.0786101981301301,-0.114800618034598
